Nombre y apellido;Team;Posicion;Value;Points;Average;Matches;Goals;Cards;Rival;¿Casa o Fuera?;Media en Casa;Media fuera;Estado;Nº Jornada;Puntos
José Luis Morales;Villarreal;Delantero;2.599.000;55;4,2;13;5;0;Valencia;1;4,6;3,8;En forma;J18;2
Manu Sánchez;Celta;Defensa;3.593.000;55;3,9;14;0;2;Betis;0;3,3;4,4;En forma;J18;6
Iván Balliu;Rayo Vallecano;Defensa;3.996.000;55;3,7;15;0;1;Getafe;1;3,9;3,5;En forma;J18;0
Youssef En Nesyri;Sevilla;Delantero;8.900.000;55;3,2;17;5;2;Athletic;0;3,3;3,1;En forma;J18;3
Adri Embarba;Almería;Centro;2.133.000;55;3,2;17;0;2;Osasuna;1;3,1;3,4;En forma;J18;2
Ricard Sánchez;Granada;Defensa;1.142.000;55;3,2;17;2;4;Cádiz;0;3,9;2,7;En forma;J18;3
Vinícius Júnior;Real Madrid;Delantero;17.491.000;54;5,4;10;4;2;Mallorca;0;8,8;3,2;En forma;J18;0
Rubén García;Osasuna;Centro;1.453.000;54;3,9;14;2;0;Almería;0;2,7;5,0;En forma;J18;0
Abde Ezzalzouli;Betis;Delantero;2.363.000;54;3,4;16;1;0;Celta;1;4,3;2,0;En forma;J18;5
Étienne Capoue;Villarreal;Centro;3.116.000;54;3,2;17;0;5;Valencia;1;3,4;2,9;En forma;J18;0
Antonio Raíllo;Mallorca;Defensa;4.878.000;53;6,6;8;2;1;Real Madrid;1;6,4;7,0;En forma;J18;12
Yuri Berchiche;Athletic Club;Defensa;5.910.000;53;4,4;12;1;2;0;5,6;2,8;En forma;J18;3
Dodi Lukébakio;Sevilla;Delantero;3.907.000;53;4,4;12;2;0;Athletic;0;6,0;2,8;En forma;J18;0
Moi Gómez;Osasuna;Centro;7.345.000;53;4,1;13;2;1;Almería;0;4,4;3,7;En forma;J18;0
 Suso;Sevilla;Centro;5.495.000;53;3,8;14;1;3;Athletic;0;4,1;3,3;En forma;J18;8
Nahuel Molina;Atlético;Defensa;5.955.000;53;3,5;15;2;1;Girona;1;3,9;3,1;En forma;J18;1
Nemanja Gudelj;Sevilla;Defensa;4.750.000;53;3,5;15;1;6;Athletic;0;3,1;4,0;En forma;J18;4
Ignasi Miquel;Granada;Defensa;1.331.000;53;2,9;18;0;3;Cádiz;0;3,3;2,6;En forma;J18;1
Assane Diao;Betis;Centro;3.548.000;52;4,7;11;2;2;Celta;1;5,2;4,3;En forma;J18;4
Aurélien Tchouaméni;Real Madrid;Centro;9.621.000;52;4,0;13;1;3;Mallorca;0;2,8;4,8;En forma;J18;3
Alex Suárez;Las Palmas;Defensa;3.412.000;52;3,7;14;0;2;Barcelona;0;4,8;2,9;En forma;J18;1
André Ferreira;Granada;Portero;3.128.000;52;3,5;15;0;1;Cádiz;0;4,0;3,0;En forma;J18;2
Alejandro Balde;Barcelona;Defensa;6.750.000;52;3,3;16;0;1;Las Palmas;1;3,2;3,3;En forma;J18;3
Giovanni González;Mallorca;Defensa;984.000;52;3,3;17;0;4;Real Madrid;1;3,4;3,0;En forma;J18;2
Álex Sola;Alavés;Defensa;947.000;52;3,3;16;0;1;Real Sociedad;1;3,1;3,8;En forma;J18;0
Lucas Torró;Osasuna;Centro;3.824.000;51;3,6;14;0;3;Almería;0;4,6;2,7;En forma;J18;0
César Azpilicueta;Atlético;Defensa;2.536.000;51;3,4;15;0;3;Girona;1;3,9;2,7;En forma;J18;3
Umar Sadiq;Real Sociedad;Delantero;6.384.000;51;3,2;16;2;2;Alavés;0;3,0;3,4;En forma;J18;2
Jesus Areso;Osasuna;Defensa;1.903.000;51;3,0;17;0;1;Almería;0;4,0;2,1;En forma;J18;1
Iván Alejo;Cádiz;Centro;1.047.000;51;3,0;17;0;10;Granada;1;2,6;3,5;En forma;J18;0
Carlos Neva;Granada;Defensa;831.000;51;2,8;18;0;2;Cádiz;0;3,4;2,2;En forma;J18;2
Pablo Barrios;Atlético;Centro;4.795.000;50;5,6;9;0;2;Girona;1;5,0;6,0;En forma;J18;0
